"time","J1_w","J2_w","J3_w","J4_w"
0.375,6.479674201898875,3.612740670198657,0,0
0.378,6.432802429918921,3.639445130129896,0,0
0.381,6.3881653938653,3.666097865483204,0,0
0.384,6.345918620936381,3.692698497452733,0,0
0.387,6.306194081569164,3.719246647969713,0,0
0.39,6.269128220242537,3.745741939745337,0,0
0.393,6.234827954325757,3.772183996236333,0,0
0.396,6.203345772615546,3.798572441621881,0,0
0.399,6.174720053207267,3.824906900861805,0,0
0.4000000059604645,6.165815159597081,3.833672984864292,5.960464453599879e-08,0
0.402,6.149569155711452,3.831174855002545,0.02,0
0.405,6.126775639491649,3.827397508048486,0.05000000000000082,0
0.408,6.106664674323028,3.823568073325708,0.08000000000000122,0
0.411,6.089351308406642,3.819682971385389,0.1100000000000011,0
0.414,6.07477475265611,3.815741629244806,0.1400000000000012,0
0.417,6.062865879330585,3.811742936241566,0.1700000000000007,0
0.42,6.053430573950263,3.807687710954582,0.2000000000000008,0
0.423,6.046292152542417,3.803576501200761,0.2300000000000007,0
0.426,6.041313381692367,3.799408278535682,0.2600000000000007,0
0.429,6.038338928806006,3.795182308867393,0.290000000000001,0
0.432,6.037125598988946,3.790898525406715,0.320000000000001,0
0.435,6.037502394555434,3.786556285158947,0.350000000000001,0
0.438,6.039199360889437,3.782155283217303,0.380000000000001,0
0.441,6.042015159812116,3.777695051125805,0.410000000000001,0
0.444,6.045689914212417,3.77317524709213,0.4400000000000013,0
0.447,6.049958050635651,3.768595541089848,0.4700000000000013,0
0.45,6.054554672615341,3.763955601694196,0.5000000000000013,0
0.453,6.059232527177988,3.759255017945729,0.5300000000000015,0
0.456,6.06371414784403,3.754493465116429,0.5600000000000015,0
0.459,6.067718947457244,3.749670614682228,0.5900000000000015,0
0.462,6.071008454503861,3.744786099791797,0.6200000000000015,0
0.465,6.073316884588166,3.739839578941561,0.6500000000000016,0
0.468,6.074393188399623,3.734830699696531,0.6800000000000016,0
0.471,6.074009569169064,3.729759104808531,0.7100000000000015,0
0.474,6.07195252192993,3.724624429074353,0.7400000000000015,0
0.477,6.068020799114668,3.719426296563952,0.7700000000000016,0
0.48,6.062035333296097,3.714164328221824,0.8000000000000012,0
0.483,6.053811429366618,3.708838230446256,0.8300000000000012,0
0.486,6.043215554697061,3.703447616305378,0.8600000000000012,0
0.489,6.030129125733662,3.697992132109007,0.8900000000000012,0
0.492,6.014450142493923,3.692471426681683,0.9200000000000008,0
0.495,5.996089227434442,3.686885151628585,0.9500000000000008,0
0.498,5.975004246505356,3.681232964426083,0.9800000000000009,0
0.501,5.951173112545076,3.675514526986532,1.010000000000001,0
0.504,5.924583952384955,3.669729490260519,1.04,0
0.507,5.895248142231807,3.663877504917371,1.070000000000001,0
0.51,5.863223578683938,3.657958240932129,1.100000000000001,0
