"time","J1_w","J2_w","J3_w","J4_w"
1.8600000000000014E-001,8.1891748390162018E+000,1.8432460558760204E+000,0.0000000000000000E+000,0.0000000000000000E+000
1.8900000000000014E-001,8.1480888448297808E+000,1.8724215327135967E+000,0.0000000000000000E+000,0.0000000000000000E+000
1.9200000000000014E-001,8.1096724479791362E+000,1.9015704693576456E+000,0.0000000000000000E+000,0.0000000000000000E+000
1.9500000000000015E-001,8.0740083213680567E+000,1.9306924515372563E+000,0.0000000000000000E+000,0.0000000000000000E+000
1.9800000000000015E-001,8.0411549474214823E+000,1.9597870653646003E+000,0.0000000000000000E+000,0.0000000000000000E+000
2.0100000000000015E-001,8.0111461026591932E+000,1.9888538973408136E+000,0.0000000000000000E+000,0.0000000000000000E+000
2.0400000000000015E-001,7.9839905615573912E+000,2.0178925343618745E+000,0.0000000000000000E+000,0.0000000000000000E+000
2.0700000000000016E-001,7.9596720223266946E+000,2.0469025637244740E+000,0.0000000000000000E+000,0.0000000000000000E+000
2.1000000000000016E-001,7.9381492552652926E+000,2.0758835731318812E+000,0.0000000000000000E+000,0.0000000000000000E+000
2.1300000000000016E-001,7.9193564723704206E+000,2.1048351506998020E+000,0.0000000000000000E+000,0.0000000000000000E+000
2.1600000000000016E-001,7.9032039149273805E+000,2.1337568849622350E+000,0.0000000000000000E+000,0.0000000000000000E+000
2.1900000000000017E-001,7.8895786538606085E+000,2.1626483648773185E+000,0.0000000000000000E+000,0.0000000000000000E+000
2.2200000000000017E-001,7.8783455957427311E+000,2.1915091798331710E+000,0.0000000000000000E+000,0.0000000000000000E+000
2.2500000000000017E-001,7.8693486855321844E+000,2.2203389196537286E+000,0.0000000000000000E+000,0.0000000000000000E+000
2.2800000000000017E-001,7.8624122953637254E+000,2.2491371746045736E+000,0.0000000000000000E+000,0.0000000000000000E+000
2.3100000000000018E-001,7.8573427870648054E+000,2.2779035353987580E+000,0.0000000000000000E+000,0.0000000000000000E+000
2.3400000000000018E-001,7.8539302345287485E+000,2.3066375932026202E+000,0.0000000000000000E+000,0.0000000000000000E+000
2.3700000000000018E-001,7.8519502906567560E+000,2.3353389396415962E+000,0.0000000000000000E+000,0.0000000000000000E+000
2.4000000000000019E-001,7.8511661822975931E+000,2.3640071668060219E+000,0.0000000000000000E+000,0.0000000000000000E+000
2.4300000000000019E-001,7.8513308154776897E+000,2.3926418672569327E+000,0.0000000000000000E+000,0.0000000000000000E+000
2.4600000000000019E-001,7.8521889722353970E+000,2.4212426340318522E+000,0.0000000000000000E+000,0.0000000000000000E+000
2.4900000000000019E-001,7.8534795795601315E+000,2.4498090606505758E+000,0.0000000000000000E+000,0.0000000000000000E+000
2.5200000000000017E-001,7.8549380302970722E+000,2.4783407411209497E+000,0.0000000000000000E+000,0.0000000000000000E+000
2.5500000000000017E-001,7.8562985354168404E+000,2.5068372699446395E+000,0.0000000000000000E+000,0.0000000000000000E+000
2.5800000000000017E-001,7.8572964867712116E+000,2.5352982421228933E+000,0.0000000000000000E+000,0.0000000000000000E+000
2.6100000000000018E-001,7.8576708093628138E+000,2.5637232531622982E+000,0.0000000000000000E+000,0.0000000000000000E+000
2.6400000000000018E-001,7.8571662822498487E+000,2.5921118990805283E+000,0.0000000000000000E+000,0.0000000000000000E+000
2.6700000000000018E-001,7.8555358074852739E+000,2.6204637764120866E+000,0.0000000000000000E+000,0.0000000000000000E+000
2.7000000000000018E-001,7.8525426069511264E+000,2.6487784822140394E+000,0.0000000000000000E+000,0.0000000000000000E+000
2.7300000000000019E-001,7.8479623275886876E+000,2.6770556140717421E+000,0.0000000000000000E+000,0.0000000000000000E+000
2.7600000000000019E-001,7.8415850363382553E+000,2.7052947701045595E+000,0.0000000000000000E+000,0.0000000000000000E+000
2.7900000000000019E-001,7.8332170870812483E+000,2.7334955489715771E+000,0.0000000000000000E+000,0.0000000000000000E+000
2.8200000000000019E-001,7.8226828430134967E+000,2.7616575498773042E+000,0.0000000000000000E+000,0.0000000000000000E+000
2.8500000000000020E-001,7.8098262391617403E+000,2.7897803725773715E+000,0.0000000000000000E+000,0.0000000000000000E+000
2.8800000000000020E-001,7.7945121711742873E+000,2.8178636173842184E+000,0.0000000000000000E+000,0.0000000000000000E+000
2.9100000000000020E-001,7.7766276980587818E+000,2.8459068851727740E+000,0.0000000000000000E+000,0.0000000000000000E+000
2.9400000000000021E-001,7.7560830481914333E+000,2.8739097773861286E+000,0.0000000000000000E+000,0.0000000000000000E+000
2.9700000000000021E-001,7.7328124196682637E+000,2.9018718960411998E+000,0.0000000000000000E+000,0.0000000000000000E+000
3.0000000000000021E-001,7.7067745678943362E+000,2.9297928437343872E+000,0.0000000000000000E+000,0.0000000000000000E+000
3.0300000000000021E-001,7.6779531751954284E+000,2.9576722236472208E+000,0.0000000000000000E+000,0.0000000000000000E+000
3.0600000000000022E-001,7.6463569991714184E+000,2.9855096395520007E+000,0.0000000000000000E+000,0.0000000000000000E+000
3.0900000000000022E-001,7.6120197984745177E+000,3.0133046958174283E+000,0.0000000000000000E+000,0.0000000000000000E+000
3.1200000000000022E-001,7.5750000366711205E+000,3.0410569974142305E+000,0.0000000000000000E+000,0.0000000000000000E+000
3.1500000000000022E-001,7.5353803668157342E+000,3.0687661499207710E+000,0.0000000000000000E+000,0.0000000000000000E+000
3.1800000000000023E-001,7.4932669013119302E+000,3.0964317595286586E+000,0.0000000000000000E+000,0.0000000000000000E+000
3.2100000000000023E-001,7.4487882735410098E+000,3.1240534330483429E+000,0.0000000000000000E+000,0.0000000000000000E+000
3.2400000000000023E-001,7.4020944995873981E+000,3.1516307779147024E+000,0.0000000000000000E+000,0.0000000000000000E+000
3.2700000000000023E-001,7.3533556501641097E+000,3.1791634021926236E+000,0.0000000000000000E+000,0.0000000000000000E+000
3.3000000000000024E-001,7.3027603445263427E+000,3.2066509145825721E+000,0.0000000000000000E+000,0.0000000000000000E+000
3.3300000000000024E-001,7.2505140797412455E+000,3.2340929244261534E+000,0.0000000000000000E+000,0.0000000000000000E+000
3.3600000000000024E-001,7.1968374101433730E+000,3.2614890417116640E+000,0.0000000000000000E+000,0.0000000000000000E+000
3.3900000000000025E-001,7.1419639931350183E+000,3.2888388770796362E+000,0.0000000000000000E+000,0.0000000000000000E+000
3.4200000000000025E-001,7.0861385186770196E+000,3.3161420418283707E+000,0.0000000000000000E+000,0.0000000000000000E+000
3.4500000000000025E-001,7.0296145408479696E+000,3.3433981479194603E+000,0.0000000000000000E+000,0.0000000000000000E+000
3.4800000000000025E-001,6.9726522307189978E+000,3.3706068079833060E+000,0.0000000000000000E+000,0.0000000000000000E+000
3.5100000000000026E-001,6.9155160704897414E+000,3.3977676353246218E+000,0.0000000000000000E+000,0.0000000000000000E+000
3.5400000000000026E-001,6.8584725093524614E+000,3.4248802439279307E+000,0.0000000000000000E+000,0.0000000000000000E+000
3.5700000000000026E-001,6.8017876018909593E+000,3.4519442484630507E+000,0.0000000000000000E+000,0.0000000000000000E+000
3.6000000000000026E-001,6.7457246499759975E+000,3.4789592642905705E+000,0.0000000000000000E+000,0.0000000000000000E+000
3.6300000000000027E-001,6.6905418690878751E+000,3.5059249074673171E+000,0.0000000000000000E+000,0.0000000000000000E+000
